ProbeName,FoldChange,Regulation,GeneSymbol,RNAlength,chrom,strand,txStart,txEnd,"2,treatednormalized","3,treatednormalized","4,treatednormalized","5,treatednormalized","6,treatednormalized","1,controlnormalized",p_value
ASHGV40019476,126.3506766,up,RD3,4290,chr1,-,211649863,211666259,11.565558,7.768,3.9187984,10.695314,12.792865,2.3668175,0.0023166462913522846
ASHGV40046663,32.0709948,up,CLDN3,1318,chr7,-,73183326,73184600,12.571454,13.919069,17.160454,13.996485,14.280554,9.382406,1.6327353678915603e-4
ASHGV40053302,2.5494592,up,MUSK,2754,chr9,+,113431050,113563278,2.3348548,6.773261,3.32627,3.1863806,2.9642773,2.3668175,0.12279570883847492
ASHGV40048300,4.2507382,up,PRKAR2B,3678,chr7,+,106685177,106802256,8.536583,14.007987,10.606674,10.777862,11.698311,9.03777,0.046381349188869894
ASHGV40016868,79.909799,up,LIPC,1614,chr15,+,58724174,58861073,8.60813,9.551538,10.607865,10.164858,7.9996066,3.066099,1.094741584800336e-6
ASHGV40015313,3.9688089,up,C14orf159,3011,chr14,+,91580356,91691740,8.277924,9.6668415,9.852642,10.412094,9.101647,7.4735236,5.839700514588878e-4
ASHGV40030434,2.4401618,up,SCRT2,3594,chr20,-,642239,656823,3.7609422,7.5119953,2.3237648,2.3474622,2.324807,2.3668175,0.23556709207482032
ASHGV40037479,2.1732162,up,TEC,3620,chr4,-,48137799,48271814,9.20647,9.289605,8.341776,8.961956,8.082919,7.6567135,0.0016134021741683797
ASHGV40020293,11.1180922,up,KRT23,2228,chr17,-,39078947,39093895,7.303082,7.681033,12.672472,11.83091,7.6859627,5.9598546,0.017173622941928306
ASHGV40057683,4.7349495,up,PTPN20A,2779,chr10,-,46550120,46641003,5.063478,7.4019694,5.8884234,8.816363,7.7960014,4.749898,0.010392941207356152
ASHGV40030223,2.4230407,up,CCL20,851,chr2,+,228678557,228682280,3.2674103,5.014519,4.354745,4.5389132,3.4906023,2.8564193,0.0045987802561278145
ASHGV40042733,2.6159818,up,BX648961,6381,chr5,+,172293439,172299820,2.7758744,2.3294015,4.401357,6.439324,2.824893,2.3668175,0.1044416260119469
ASHGV40016291,3.1152328,up,ADCY10,5432,chr1,-,167778624,167883464,6.541288,5.0651875,7.366468,5.2365303,5.003921,4.203339,0.008547050095299604
ASHGV40011561,2.4205611,up,SLC26A10,2446,chr12,+,58013692,58019934,3.2725413,3.0694451,3.6272135,3.5091512,4.732444,2.3668175,0.002250854904908984
ASHGV40010319,2.288001,up,LIN7A,1235,chr12,-,81191170,81331694,4.8781333,8.315929,6.126549,4.9275036,7.45259,5.1460533,0.11837255468243342
ASHGV40042960,4.8129499,up,NRN1,2072,chr6,-,5998232,6007633,4.6202645,6.2702274,3.0229669,2.3474622,6.9077735,2.3668175,0.033597325897048586
ASHGV40039003,55.1070067,up,UGT2B7,1899,chr4,+,69962192,69978705,10.3884,12.181401,10.65312,3.4923513,12.895132,4.137917,0.008623909162516269
ASHGV40008976,2.5069723,up,TYR,2082,chr11,+,88911039,89028927,3.8222094,7.6382103,3.4388409,2.3474622,4.1681995,2.9570384,0.1758044021849222
ASHGV40046817,2.1097651,up,OCM2,588,chr7,-,97614012,97619416,4.7409606,2.3294015,4.752637,2.3474622,3.0490382,2.3668175,0.08470503645361407
ASHGV40048031,2.9344957,up,POR,2509,chr7,+,75544419,75616173,13.228063,11.736252,12.703786,12.704747,12.9104,11.103537,2.508267296525223e-4
ASHGV40046469,5.1675943,up,C1orf115,2990,chr1,+,220863627,220872499,7.231692,5.4094663,4.479542,2.3474622,4.213389,2.3668175,0.017858591040746167
ASHGV40008598,2.1394032,up,PRDX5,913,chr11,+,64085559,64089295,16.682594,16.358967,16.487022,15.225367,16.233862,15.100354,0.0025542626868086055
ASHGV40008186,6.5577095,up,NELL1,3270,chr11,+,20691096,21597229,5.515732,2.730494,2.8939633,2.3474622,11.912396,2.3668175,0.1696782840713436
ASHGV40002725,2.8328759,up,RP11-139J15.7,406,chr10,-,18931404,18944123,2.9981685,2.8236551,5.0037274,4.8746486000000004,3.6452248,2.3668175,0.011218338181418725
ASHGV40018528,2.5826171,up,BAIAP3,4691,chr16,+,1384504,1399442,6.526591,5.766418,6.9526014,5.602065,5.7491755,4.7505364,8.289165636891045e-4
ASHGV40048174,23.1958933,up,DLX6,1892,chr7,+,96635289,96640352,8.448587,6.6184626,5.330257,7.9021387,6.2136297,2.3668175,4.336644270117661e-5
ASHGV40035832,2.2941228,up,ZNF621,8483,chr3,+,40566368,40581285,10.154714,9.454454,11.543907,10.233148,10.724335,9.224169,0.008530382338607237
ASHGV40002545,7.7113634,up,LPHN1,675,chr19,-,14269986,14272348,4.5840383,4.721983,8.824196,4.9568095,9.045744,3.4795682,0.020789868932015416
ASHGV40008896,4.163473,up,MYO7A,7465,chr11,+,76839309,76926286,2.3348548,7.060023,5.791505,4.611835,2.324807,2.3668175,0.059730152745463394
ASHGV40038498,2.1109795,up,LCE5A,819,chr1,+,152483319,152484653,14.753994,14.779499,15.533669,14.086589,15.212872,13.795412,0.002247936686208343
ASHGV40051794,2.6901692,up,BX649567.1,420,chr9,-,67924790,67925210,6.3292475,6.0239205,6.9204435,7.658665,7.407691,5.4402966,0.0017426456248701165
ASHGV40043337,29.2911559,up,HLA-DMB,1412,chr6,-,32902405,32908847,13.451493,12.351212,6.3264966,11.708693,11.933359,6.2818575,0.004431343968060649
ASHGV40045359,4.2271895,up,C6orf165,2215,chr6,+,88117689,88174191,8.385802,8.268703,7.745087,5.536719,8.214103,5.550384,0.004606804773885107
ASHGV40024639,2.1576539,up,SLC17A7,2993,chr19,-,49932654,49944808,3.3919077,5.8589225,4.2908382,3.8802698,4.15316,3.2055562,0.028332830361969385
ASHGV40039755,6.774145,up,RP11-279O9.4,394,chr4,+,186392669,186393417,12.700513,10.817808,7.228033,9.534202,6.0707083,6.510214,0.049962306583268314
ASHGV40039428,6.0622872,up,MGST2,817,chr4,+,140586921,140625406,14.176915,14.403637,15.393473,14.699577,13.580969,11.851052,2.367839356166155e-5
ASHGV40029740,2.51267,up,CERS6,6844,chr2,+,169312758,169631644,11.389631,11.528426,11.24389,10.309505,9.144164,9.393902,0.018095530894060182
ASHGV40008705,2.7004544,up,SYT12,3541,chr11,+,66790815,66818334,5.740408,5.9871483,5.868769,4.1078253,5.2910194,3.9658318,0.003120013702194747
ASHGV40023559,2.3116487,up,TSHZ1,4897,chr18,+,72923483,73001905,13.794002,13.975992,15.267319,13.090927,14.984986,13.013723,0.016476172583816725
ASHGV40036894,2.3617956,up,KLHL24,7331,chr3,+,183353410,183402304,9.674577,8.035771,8.536583,7.1164336,7.680774,6.9689436,0.021139839581484465
ASHGV40036198,2.119678,up,CADM2,9580,chr3,+,85008132,86123579,6.702613,6.7360044,5.2053633,5.678199,8.624846,5.50556,0.10270353260030582
ASHGV40024041,2.7817251,up,CALR3,1295,chr19,-,16589867,16607003,5.3264737,2.7493286,2.340554,3.8944254,4.903205,2.3668175,0.0349896955875569
ASHGV40011887,2.7776841,up,NR1H4,1907,chr12,+,100897137,100957645,3.478294,4.9121356,5.22407,3.832864,4.258096,2.8672094,0.0019193760650299493
ASHGV40053825,4.9108482,up,MAP3K15,4633,chrX,-,19378175,19533379,8.115669,7.8375626,6.7151,7.114229,9.630128,5.5865655,0.0018426582919160918
ASHGV40028329,5.4950308,up,C2orf54,2542,chr2,-,241825464,241835573,8.244911,4.8247223,8.561212,7.4141736,7.143019,4.77948,0.005686068562720358
ASHGV40040963,6.8471857,up,PPP2R2B,2098,chr5,-,145969066,146258348,7.1544523,10.803424,9.758017,2.3474622,4.4583287,4.1288257,0.1177591597381499
ASHGV40013881,2.6817256,up,GZMH,987,chr14,-,25075685,25078926,2.6826277,4.0664988,3.9603107,3.5854704,4.654988,2.3668175,0.002382448797371344
ASHGV40011316,3.618355,up,AC004466.1,1082,chr12,+,48178705,48179787,6.332599,6.3218803,9.289127,6.7928514,7.1535835,5.3226743,0.009751170010953556
ASHGV40023687,2.9141527,up,ATP8B3,5109,chr19,-,1782073,1812275,6.3353148,8.259984,5.7371187,8.60289,5.303112,5.3046074,0.05001532056052753
ASHGV40049900,4.7141608,up,MTSS1,5054,chr8,-,125563010,125740748,8.669821,10.600965,7.0895824,6.909679,5.903129,5.5976343,0.026100890359196677
ASHGV40029501,2.368824,up,NFYC,2176,chr1,+,41204507,41237276,15.109015,14.6605425,14.762083,14.5671215,15.105608,13.596703,4.1360103362836875e-6
ASHGV40005886,37.5494685,up,DYDC2,1892,chr10,+,82116523,82127829,5.9912534,7.738699,9.341275,8.272469,6.643994,2.3668175,2.1173104378280808e-5
ASHGV40057719,4.1934445,up,FAM24B,788,chr10,-,124608609,124639157,12.867838,13.297868,2.3237648,12.064446,13.522917,8.747231,0.36159515759804806
ASHGV40029178,28.3552938,up,TEKT4,1515,chr2,+,95537177,95542574,10.025246,10.193688999999999,10.532594,10.048931,11.095034,5.5535526,9.50267627610406e-9
ASHGV40029249,77.4647789,up,IL1R2,1484,chr2,+,102608305,102644884,13.836031,10.438688,12.844303,16.916927,12.757172,7.0831556,3.3151975390223297e-4
ASHGV40027816,12.8650461,up,THEMIS2,2724,chr1,+,28199053,28213196,9.671717,7.2551956,11.026377,9.432013,11.059116,6.003499,7.248172846256185e-4
ASHGV40034786,3.0510559,up,IGSF11,3446,chr3,-,118619478,118753676,4.8269663,2.3294015,6.357253,2.3474622,4.0195475,2.3668175,0.06907525708576666
ASHGV40000239,5.9086715,up,LTC4S,680,chr5,+,179220985,179223513,4.638816,7.208828,8.5695915,6.868955,7.1890135,4.332207,0.0037773874736779056
ASHGV40025231,2.1795924,up,DAND5,1732,chr19,+,13080431,13085567,5.775791,7.0049863,6.151656,6.8549976,6.930791,5.419586,0.0017940275592543391
ASHGV40060841,2.1956411,up,RSPH10B,2300,chr7,-,5965776,6000495,3.113304,9.34313,3.6493778,3.1363153,2.324807,3.1787446,0.3995284436039145
ASHGV40032261,3.1832101,up,ERG,5114,chr21,-,39751949,40033704,7.067787,9.569505,5.643939,9.25733,5.322561,5.701742,0.09576798854766472
ASHGV40025527,2.4128269,up,PRAMEF16,1587,chr1,+,13495253,13498259,3.745131,4.369166,4.595056,4.917312,4.313283,3.1172652,1.70074746039794e-4
ASHGV40017116,10.6498474,up,CRABP1,782,chr15,+,78632665,78640572,9.285065,3.7659733,2.8875642,6.0606723,6.898617,2.3668175,0.017307492256631092
ASHGV40016254,3.9820629,up,AP3B2,3771,chr15,-,83328032,83378660,12.056261,11.743632,12.532345,11.232674,12.237718,9.96701,1.9129923494467996e-5
ASHGV40037410,4.6292953,up,BCL9,6192,chr1,+,147013270,147098020,8.792494,8.840082,7.761539,8.236132,8.255821,6.166421,4.0058181554324185e-6
ASHGV40041935,24.1511818,up,IQGAP2,5460,chr5,+,75843233,76003957,7.734843,10.747451,5.9723434,10.369391,12.718563,4.9144964,0.004763219634069792
ASHGV40056154,25.4332718,up,NDN,1897,chr15,-,23930553,23932450,8.864412,9.413252,2.3237648,5.667216,8.9086685,2.3668175,0.008667917008552505
ASHGV40039043,6.0399032,up,ALB,2264,chr4,+,74269971,74287129,6.6293206,2.4693344,7.1384287,3.2833903,5.2862406,2.3668175,0.021700766305795295
ASHGV40033584,13.0098215,up,EMID1,2127,chr22,+,29601900,29655586,8.127029,3.8367252,6.447754,7.4661636,8.860484,3.2461019,0.0028395227329282946
ASHGV40032583,2.0647984,up,HUNK,7385,chr21,+,33245627,33376377,6.2430606,6.2722864,5.817124,5.6325884,6.2110033,4.9892116,4.278467475406623e-5
ASHGV40021094,2.3063565,up,SERPINF1,1552,chr17,+,1665258,1680859,7.038582,3.5155642,5.271405,5.2803497,5.1817417,4.051913,0.06248931801443388
ASHGV40026174,2.1101894,up,ZNF324B,2995,chr19,+,58962970,58969199,2.3348548,2.7407415,3.7877688,4.826714,3.5308707,2.3668175,0.037875792837208135
ASHGV40009846,6.1577696,up,PRICKLE1,4321,chr12,-,42852139,42983572,8.067968,9.719326,10.547639,11.332994,10.250975,7.3613725,0.001341885831216779
ASHGV40052545,3.037676,up,NRARP,2639,chr9,-,140194082,140196703,12.511709,12.737411,13.221489,12.0279,11.237321,10.744198,0.0014448891828715699
ASHGV40005274,4.3641384,up,DKFZP667F0711,2446,chr10,+,6392277,6394723,6.528318,4.0355153,6.5981183,2.3474622,2.953158,2.3668175,0.043528692993429464
ASHGV40054614,10.8075192,up,CSF2RA,1855,chrX,+,1387692,1428828,4.990644,11.172917,10.69347,5.256436,3.973972,3.7835243,0.05552819354606428
ASHGV40045339,2.2820238,up,MRAP2,2229,chr6,+,84743419,84800605,5.6084585,6.210363,4.6268587,5.7492943,5.1065683,4.2699947,0.0023991601941414737
ASHGV40008726,2.4099832,up,C1orf173,2068,chr1,-,75055010,75100539,3.794374,4.22042,4.1850986,2.3474622,3.631848,2.3668175,0.005878274753107762
ASHGV40037525,5.1423539,up,SPINK2,763,chr4,-,57676025,57688035,10.023375,8.270635,10.267695,8.544415,10.036058,7.0660067,5.056496202326178e-4
ASHGV40005251,19.1941611,up,AKR1E2,1656,chr10,+,4868368,4890251,6.551602,8.138663,10.588639,8.451442,3.847496,3.2529728,0.005195093202095878
ASHGV40042032,3.3563672,up,ADGRV1,19333,chr5,+,89854616,90460033,3.2162578,4.084585,4.0857286,2.3474622,6.8345566,2.3668175,0.048843513397044604
ASHGV40051470,2.4759589,up,SPATA6L,3763,chr9,-,4598315,4666674,8.792167,5.1867943,7.554397,7.300872,4.6546764,5.389794,0.12896001034260332
ASHGV40021223,2.6454684,up,POLR2A,6738,chr17,+,7387697,7417935,12.143429,13.003382,13.400831,12.046824,13.524885,11.420347,0.0019347259580721958
ASHGV40023656,21.4131079,up,PRSS57,1075,chr19,-,685520,695461,8.634041,7.411868,4.517259,5.843692,7.529339,2.3668175,2.7958138281405237e-4
ASHGV40003328,2.1758888,up,HIST1H2BK,863,chr6,-,27106071,27114637,16.18443,15.426424,14.80666,12.876979,11.483611,13.034016,0.23039996697937942
ASHGV40048201,2.7540241,up,ZNF789,1654,chr7,+,99070514,99085217,8.823137,9.50081,10.595643,11.190029,10.009697,8.562322,0.007580952393897727
ASHGV40042392,2.5580212,up,CXXC5,1447,chr5,+,139028300,139062680,12.943795,12.428747,14.77716,13.860026,14.020678,12.251053,0.011342470446970754
ASHGV40024680,305.0523639,up,KLK6,1527,chr19,-,51461886,51472929,13.117693,3.24533,15.792606,10.508968,13.523137,2.9846337,0.005173432516134357
ASHGV40030423,2.4289167,up,C20orf96,1611,chr20,-,251503,271419,4.7057157,2.3294015,4.082392,3.0313344,4.086809,2.3668175,0.016818668104770264
ASHGV40052527,3.7944077,up,ENTPD2,2156,chr9,-,139942550,139948503,9.576896,9.198524,10.979425,8.124468,11.0258255,7.857153,0.008313583039028329
ASHGV40037191,11.5258619,up,PPP2R2C,4438,chr4,-,6322304,6474326,10.390551,11.707245,6.237318,6.7072797,10.967243,5.6751246,0.014575106986660905
ASHGV40031553,2.0752289,up,C1orf177,1806,chr1,+,55271735,55307937,6.8035407,6.2084775,8.332941,6.836652,7.5252337,6.0880985,0.019996171008603323
ASHGV40055805,2.6283426,up,CH25H,1378,chr10,-,90965693,90967071,2.3348548,11.287674,2.3237648,3.929225,2.324807,3.0459118,0.44607764876716893
ASHGV40003309,3.812235,up,CCDC7,2730,chr10,+,32856650,33171792,7.5953064,5.0286984,5.881421,5.6085625,5.900034,4.0721674,0.0019768274610330616
ASHGV40015888,2.6135037,up,WDR72,7326,chr15,-,53805937,54051859,2.3348548,5.801324,5.9555655,2.3474622,2.324807,2.3668175,0.1490439931754456
ASHGV40033070,2.1051481,up,SYN3,3047,chr22,-,32908539,33402806,6.5067606,7.842014,8.902829,7.4817142,8.294657,6.7316732,0.02837522961870811
ASHGV40000127,21.496911,up,HEY2,2672,chr6,+,126070731,126082415,2.3348548,4.870866,10.18124,9.996157,6.581257,2.3668175,0.018734319394764627
ASHGV40030698,3.5606484,up,ACSS1,3692,chr20,-,24986865,25038818,8.369844,9.946821,12.351212,10.03872,8.481018,8.005383,0.03444289985867206
ASHGV40036533,2.9865944,up,NEK11,2963,chr3,+,130745693,131069309,8.8207,7.280267,9.082874,7.275622,8.517536,6.6168985,0.0034421514315204084
ASHGV40008597,2.1801961,up,ESRRA,2284,chr11,+,64072999,64084212,10.861241,10.992991,10.868899,11.409553,11.708693,10.0438175,1.5416383736749982e-4
ASHGV40012183,3.3826161,up,TMEM132B,10912,chr12,+,125811161,126146923,4.316241,5.942371,3.9124806,2.3474622,4.10623,2.3668175,0.015267527602014287
ASHGV40047557,9.6884978,up,TSPAN13,1912,chr7,+,16793350,16824161,11.682495,10.664824,11.989359,11.818188,10.312004,8.017101,1.0439764296475324e-5
ASHGV40009655,97.2372441,up,RERG,2325,chr12,-,15260715,15374411,9.006895,9.480093,9.029928,5.550855,11.783502,2.3668175,1.650775167654979e-4
ASHGV40047204,86.1144347,up,KLRG2,1544,chr7,-,139138087,139168457,6.5028124,9.971651,9.044689,11.269996,7.185855,2.3668175,8.213934001615348e-5
ASHGV40046467,2.2302025,up,IGFBP3,2620,chr7,-,45951843,45960871,14.411885,10.333443,13.353419,12.625425,5.6075516,10.10917,0.48081190840042975
ASHGV40030110,7.3960798,up,IGFBP2,1439,chr2,+,217498126,217529158,12.462387,11.212918,13.633158,13.052456,14.08115,10.001653,4.156595343570533e-4
ASHGV40047731,129.1778407,up,EPDR1,2614,chr7,+,37960162,37991542,11.244678,10.625186,10.5863495,5.668641,8.775307,2.3668175,1.2371059263124778e-4
ASHGV40037244,8.9827424,up,NKX3-2,2241,chr4,-,13542453,13546114,10.2555685,8.563523,8.697108,6.9119763,9.892826,5.6970444,6.592897358022132e-4
ASHGV40035436,2.5356433,up,GSTM2,1228,chr1,+,110210643,110217908,13.245782,11.871491,10.170146,11.332245,11.81166,10.343913,0.02664649734361693
ASHGV40053426,2.3902156,up,LHX2,2416,chr9,+,126773888,126795442,5.216296,6.5258975,5.1296167,4.6315355,4.7836266,4.0002537,0.005594635529808422
ASHGV40022134,6.190382,up,MAP2K6,1879,chr17,+,67410837,67538470,9.10035,7.5023384,9.99105,7.3875093,6.942482,5.5547175,0.0019278495228663127
ASHGV40010164,86.4814915,up,C12orf56,2069,chr12,-,64660762,64784345,10.338332,11.384013,10.9146,9.214501,9.698053,3.8755803,1.9648891677646366e-7
ASHGV40029860,5.871619,up,PPP1R1C,1078,chr2,+,182850550,182982483,9.911175,8.644637,10.394584,9.658523,7.0208178,6.572189,0.0027453217843389447
ASHGV40005367,2.8495008,up,CACNB2,4078,chr10,+,18429605,18830688,4.509428,5.671956,4.5339804,2.3474622,2.324807,2.3668175,0.052300239123111644
ASHGV40049920,6.0984102,up,FAM84B,5503,chr8,-,127564682,127570711,15.961657,15.588884,14.247145,14.790866,14.978114,12.5049,2.4765477983165073e-5
ASHGV40017619,2.0177185,up,PRM2,683,chr16,-,11369492,11370337,5.8425627,4.770485,6.7990236,6.5538893,6.432619,5.066991,0.02359614409114222
ASHGV40018893,171.3183052,up,QPRT,1575,chr16,+,29690440,29709314,12.815657,12.160454,11.561576,12.020656,11.633512,4.6178355,7.736740509820374e-10
ASHGV40009882,2.1743984,up,TGFBR3,6475,chr1,-,92145899,92351836,7.0116816,13.549389,11.521743,12.548868,13.31677,10.469074,0.37696663668574315
ASHGV40036439,2.137711,up,FAM162A,838,chr3,+,122103022,122128961,15.062125,13.582174,13.345366,14.677453999999999,15.010595,13.239476,0.016763440365434003
ASHGV40048797,41.1072085,up,TDRP,3436,chr8,-,439789,495781,10.003283,9.150255,8.8107605,9.406387,8.9733515,3.9074879,5.614000734699417e-9
ASHGV40034278,26.2804177,up,PRSS50,1363,chr3,-,46753605,46759373,12.913684,7.167866,6.7171965,2.3474622,6.2674603,2.3668175,0.023635110459883455
ASHGV40054706,265.105814,up,EGFL6,2445,chrX,+,13587693,13651694,11.24765,11.03684,12.42942,8.461816,8.910484,2.3668175,4.934507677603382e-6
ASHGV40037261,8.1074525,up,FGFBP1,1369,chr4,-,15937192,15940363,8.783333,11.245107,12.705374,8.237688,5.5976343,6.2945786,0.040209411833750916
ASHGV40024543,3.4234696,up,NOVA2,1885,chr19,-,46442770,46476657,10.762427,9.768553,10.145582,6.960517,10.20482,7.7929206,0.029439512651169595
ASHGV40040992,3.3018457,up,PDE6A,5659,chr5,-,149237518,149324356,6.768869,10.211464,6.690531,9.57726,5.927181,6.1117883,0.07985195724121368
ASHGV40022634,4.1654961,up,DSC1,4225,chr18,-,28709213,28742819,2.3348548,3.6370902,11.482315,2.3474622,2.324807,2.3668175,0.2814019464711718
ASHGV40046563,9.8175089,up,PSPH,2142,chr7,-,56078743,56119268,16.562103,14.912203,15.551964,14.936989,15.455001,12.188295,4.140120808930298e-6
ASHGV40045837,85.6100961,up,PLEKHG1,7237,chr6,+,150920998,151164799,7.1712217,9.254258,9.088139,10.111022,8.307992,2.3668175,1.18535952376702e-6
ASHGV40026728,6.1346257,up,LHCGR,3093,chr2,-,48913912,48982880,5.4261537,4.04225,6.7667627,4.0789747,4.604823,2.3668175,9.063386486969063e-4
ASHGV40011885,2.3101364,up,SLC17A8,3983,chr12,+,100750856,100815837,6.656351,8.115669,6.1743226,5.51533,6.136655,5.3116875,0.024803951459691193
ASHGV40008416,2.3219961,up,OR4C6,930,chr11,+,55432642,55433572,2.3348548,7.073529,2.368001,3.8097234,2.324807,2.3668175,0.22207728458962028
ASHGV40021200,2.2431015,up,TTC13,3289,chr1,-,231041986,231114618,13.121442,12.019396,12.5078745,12.670572,13.140095,11.526381,5.211947514561052e-4
ASHGV40035417,8.2480661,up,CLDN1,3452,chr3,-,190023489,190040235,11.071316,11.682962,11.0898485,11.416168,8.868512,7.7817054,3.020911435269898e-4
ASHGV40028191,3.5131692,up,HTR2B,2240,chr2,-,231972949,231989824,8.814492,2.3294015,2.3237648,2.3474622,5.0828323,2.3668175,0.1929403153347847
